Airbag0,Airbag1,Airbag2,Airbag3,Airbag4,Airbag5
0.0,0.0,0.0,0.0,0.0,176.25061
0.0,0.0,0.0,0.0,0.0,177.5
0.0,0.0,0.0,0.0,0.0,176.25061
0.0,0.0,0.0,0.0,0.0,176.25061
0.0,0.0,0.0,0.0,0.0,176.25061
0.0,0.0,0.0,0.0,0.0,176.25061
0.0,0.0,0.0,0.0,0.0,177.5
0.0,0.0,0.0,0.0,0.0,176.25061
0.0,0.0,0.0,0.0,0.0,177.5
0.0,0.0,0.0,0.0,0.0,177.5
0.0,0.0,0.0,0.0,0.0,177.5
0.0,0.0,0.0,0.0,0.0,177.5
0.0,0.0,0.0,0.0,0.0,177.5
0.0,0.0,0.0,0.0,0.0,177.5
0.0,0.0,0.0,0.0,0.0,177.5
0.0,0.0,0.0,0.0,0.0,176.25061
0.0,0.0,0.0,0.0,0.0,177.5
0.0,0.0,0.0,0.0,0.0,176.25061
0.0,0.0,0.0,0.0,0.0,177.5
0.0,0.0,0.0,0.0,0.0,177.5
0.0,0.0,0.0,0.0,0.0,177.5
0.0,0.0,0.0,0.0,0.0,177.5
0.0,0.0,0.0,0.0,0.0,176.25061
0.0,0.0,0.0,0.0,0.0,176.25061
0.0,0.0,0.0,0.0,0.0,177.5
0.0,0.0,0.0,0.0,0.0,176.25061
0.0,0.0,0.0,0.0,0.0,177.5
0.0,0.0,0.0,0.0,0.0,176.25061
0.0,0.0,0.0,0.0,0.0,177.5
0.0,0.0,0.0,0.0,0.0,177.5
0.0,0.0,0.0,0.0,0.0,176.25061
0.0,0.0,0.0,0.0,0.0,177.5
0.0,0.0,0.0,0.0,0.0,176.25061
0.0,0.0,0.0,0.0,0.0,176.25061
0.0,0.0,0.0,0.0,0.0,177.5
0.0,0.0,0.0,0.0,0.0,176.25061
0.0,0.0,0.0,0.0,0.0,177.5
0.0,0.0,0.0,0.0,0.0,177.5
0.0,0.0,0.0,0.0,0.0,177.5
0.0,0.0,0.0,0.0,0.0,177.5
0.0,0.0,0.0,0.0,0.0,176.25061
0.0,0.0,0.0,0.0,0.0,176.25061
0.0,0.0,0.0,0.0,0.0,176.25061
0.0,0.0,0.0,0.0,0.0,177.5
0.0,0.0,0.0,0.0,0.0,176.25061
0.0,0.0,0.0,0.0,0.0,176.25061
0.0,0.0,0.0,0.0,0.0,177.5
0.0,0.0,0.0,0.0,0.0,177.5
0.0,0.0,0.0,0.0,0.0,177.5
0.0,0.0,0.0,0.0,0.0,177.5
