Airbag0,Airbag1,Airbag2,Airbag3,Airbag4,Airbag5
0.0,0.0,0.0,0.0,0.0,137.5
0.0,0.0,0.0,0.0,0.0,136.25
0.0,0.0,0.0,0.0,0.0,136.25
0.0,0.0,0.0,0.0,0.0,136.25
0.0,0.0,0.0,0.0,0.0,137.5
0.0,0.0,0.0,0.0,0.0,137.5
0.0,0.0,0.0,0.0,0.0,136.25
0.0,0.0,0.0,0.0,0.0,136.25
0.0,0.0,0.0,0.0,0.0,136.25
0.0,0.0,0.0,0.0,0.0,136.25
0.0,0.0,0.0,0.0,0.0,137.5
0.0,0.0,0.0,0.0,0.0,136.25
0.0,0.0,0.0,0.0,0.0,136.25
0.0,0.0,0.0,0.0,0.0,136.25
0.0,0.0,0.0,0.0,0.0,136.25
0.0,0.0,0.0,0.0,0.0,136.25
0.0,0.0,0.0,0.0,0.0,136.25
0.0,0.0,0.0,0.0,0.0,136.25
0.0,0.0,0.0,0.0,0.0,136.25
0.0,0.0,0.0,0.0,0.0,136.25
0.0,0.0,0.0,0.0,0.0,136.25
0.0,0.0,0.0,0.0,0.0,136.25
0.0,0.0,0.0,0.0,0.0,136.25
0.0,0.0,0.0,0.0,0.0,136.25
0.0,0.0,0.0,0.0,0.0,136.25
0.0,0.0,0.0,0.0,0.0,136.25
0.0,0.0,0.0,0.0,0.0,136.25
0.0,0.0,0.0,0.0,0.0,136.25
0.0,0.0,0.0,0.0,0.0,137.5
0.0,0.0,0.0,0.0,0.0,137.5
0.0,0.0,0.0,0.0,0.0,136.25
0.0,0.0,0.0,0.0,0.0,136.25
0.0,0.0,0.0,0.0,0.0,136.25
0.0,0.0,0.0,0.0,0.0,137.5
0.0,0.0,0.0,0.0,0.0,136.25
0.0,0.0,0.0,0.0,0.0,137.5
0.0,0.0,0.0,0.0,0.0,137.5
0.0,0.0,0.0,0.0,0.0,136.25
0.0,0.0,0.0,0.0,0.0,136.25
0.0,0.0,0.0,0.0,0.0,136.25
0.0,0.0,0.0,0.0,0.0,136.25
0.0,0.0,0.0,0.0,0.0,136.25
0.0,0.0,0.0,0.0,0.0,136.25
0.0,0.0,0.0,0.0,0.0,136.25
0.0,0.0,0.0,0.0,0.0,136.25
0.0,0.0,0.0,0.0,0.0,136.25
0.0,0.0,0.0,0.0,0.0,136.25
0.0,0.0,0.0,0.0,0.0,137.5
0.0,0.0,0.0,0.0,0.0,136.25
0.0,0.0,0.0,0.0,0.0,137.5
0.0,0.0,0.0,0.0,0.0,136.25
0.0,0.0,0.0,0.0,0.0,136.25
0.0,0.0,0.0,0.0,0.0,136.25
0.0,0.0,0.0,0.0,0.0,136.25
0.0,0.0,0.0,0.0,0.0,136.25
0.0,0.0,0.0,0.0,0.0,136.25
0.0,0.0,0.0,0.0,0.0,137.5
0.0,0.0,0.0,0.0,0.0,136.25
0.0,0.0,0.0,0.0,0.0,136.25
0.0,0.0,0.0,0.0,0.0,136.25
0.0,0.0,0.0,0.0,0.0,136.25
0.0,0.0,0.0,0.0,0.0,137.5
0.0,0.0,0.0,0.0,0.0,136.25
0.0,0.0,0.0,0.0,0.0,136.25
0.0,0.0,0.0,0.0,0.0,136.25
0.0,0.0,0.0,0.0,0.0,136.25
0.0,0.0,0.0,0.0,0.0,136.25
